mesh_point_id,mesh_ix,mesh_iy,x_m,y_m,latitude,longitude,longitude_norm,era5_latitude,era5_longitude_norm,era5_longitude,distance_to_cell_center_km,era5_cell_id
6456,39,83,-120000.0,1780000.0,60.0467727689529,-70.65367303073688,-70.65367303073688,59.5,-70.8,-70.8,61.347692867508734,59.5000_-70.8000
6457,40,83,-100000.0,1780000.0,60.051724189531214,-70.29489309468775,-70.29489309468775,59.5,-70.8,-70.8,67.54988041458965,59.5000_-70.8000
6458,41,83,-80000.0,1780000.0,60.05577581680469,-69.93602288095961,-69.93602288095961,59.5,-70.8,-70.8,78.46900672567251,59.5000_-70.8000
6472,55,83,200000.0,1780000.0,60.01797689240182,-64.91246939235398,-64.91246939235398,59.5,-66.3,-66.3,96.71992311498474,59.5000_-66.3000
6502,21,84,-480000.0,1800000.0,59.98273221064967,-77.1188306041591,-77.1188306041591,59.5,-78.3,-78.3,85.21192626275409,59.5000_-78.3000
6503,22,84,-460000.0,1800000.0,60.00385813798271,-76.7629644472268,-76.7629644472268,59.5,-76.8,-76.8,56.0649371301934,59.5000_-76.8000
6504,23,84,-440000.0,1800000.0,60.02409574865441,-76.4066872996538,-76.4066872996538,59.5,-76.8,-76.8,62.299516418910606,59.5000_-76.8000
6505,24,84,-420000.0,1800000.0,60.04344366610997,-76.05001614132941,-76.05001614132941,59.5,-76.8,-76.8,73.58083168618161,59.5000_-76.8000
6506,25,84,-400000.0,1800000.0,60.06190057195101,-75.6929680680183,-75.6929680680183,59.5,-76.8,-76.8,87.98805703957589,59.5000_-76.8000
6507,26,84,-380000.0,1800000.0,60.07946520633805,-75.33556028669551,-75.33556028669551,59.5,-76.8,-76.8,104.23247121472005,59.5000_-76.8000
6508,27,84,-360000.0,1800000.0,60.09613636837683,-74.97781011080076,-74.97781011080076,59.5,-75.3,-75.3,68.69347703478505,59.5000_-75.3000
6509,28,84,-340000.0,1800000.0,60.111912916487576,-74.61973495541508,-74.61973495541508,59.5,-75.3,-75.3,77.95365635392542,59.5000_-75.3000
6510,29,84,-320000.0,1800000.0,60.12679376875715,-74.26135233236295,-74.26135233236295,59.5,-75.3,-75.3,90.71662966994744,59.5000_-75.3000
6511,30,84,-300000.0,1800000.0,60.140777903274035,-73.90267984524326,-73.90267984524326,59.5,-75.3,-75.3,105.72093740776552,59.5000_-75.3000
6512,31,84,-280000.0,1800000.0,60.15386435844538,-73.54373518439247,-73.54373518439247,59.5,-73.8,-73.8,74.10355877050263,59.5000_-73.8000
6513,32,84,-260000.0,1800000.0,60.166052233296305,-73.18453612178344,-73.18453612178344,59.5,-73.8,-73.8,81.65617397555549,59.5000_-73.8000
6514,33,84,-240000.0,1800000.0,60.177340687751034,-72.8251005058636,-72.8251005058636,59.5,-73.8,-73.8,92.94519271576102,59.5000_-73.8000
6515,34,84,-220000.0,1800000.0,60.18772894289558,-72.46544625633592,-72.46544625633592,59.5,-73.8,-73.8,106.79190687164247,59.5000_-73.8000
6516,35,84,-200000.0,1800000.0,60.19721628122194,-72.10559135888667,-72.10559135888667,59.5,-72.3,-72.3,78.28360053318553,59.5000_-72.3000
6517,36,84,-180000.0,1800000.0,60.20580204685337,-71.74555385986355,-71.74555385986355,59.5,-72.3,-72.3,84.36794453544735,59.5000_-72.3000
